episode,status,runtime,reward,collisions_agent,collisions_obs,success
388,Success,693.71,-0.083,0,0,1
389,Obstacle Collision,694.76,-1.278,0,1,0
390,Success,695.86,-0.033,0,0,1
391,Success,698.13,-0.078,0,0,1
392,Obstacle Collision,700.45,-1.344,0,1,0
393,Success,702.1,-0.061,0,0,1
394,Success,704.53,-0.083,0,0,1
395,Success,706.56,-0.078,0,0,1
396,Agent Collision,708.87,-2.628,1,0,0
397,Success,710.88,-0.061,0,0,1
398,Success,712.67,-0.067,0,0,1
399,Obstacle Collision,713.35,-1.267,0,1,0
400,Success,715.11,-0.061,0,0,1
401,Success,716.93,-0.067,0,0,1
402,Success,718.74,-0.061,0,0,1
403,Obstacle Collision,719.91,-1.278,0,1,0
404,Success,721.41,-0.906,0,0,1
405,Obstacle Collision,723.56,-1.306,0,1,0
406,Success,725.03,-0.061,0,0,1
407,Obstacle Collision,726.4,-1.283,0,1,0
408,Obstacle Collision,730.05,-1.417,0,1,0
409,Success,731.35,-0.039,0,0,1
410,Success,733.36,-0.067,0,0,1
411,Success,734.75,-1.767,0,0,1
412,Obstacle Collision,735.41,-1.267,0,1,0
413,Success,736.33,-0.044,0,0,1
414,Success,738.83,-0.083,0,0,1
415,Agent Collision,739.85,-4.306,1,0,0
416,Success,741.4,-0.044,0,0,1
417,Success,742.81,-0.067,0,0,1
418,Success,743.81,-0.039,0,0,1
419,Success,745.98,-4.339,0,0,1
420,Success,750.43,-3.628,0,0,1
421,Success,751.58,-0.044,0,0,1
422,Success,753.13,-0.056,0,0,1
423,Obstacle Collision,753.73,-1.155,0,1,0
424,Success,755.92,-0.078,0,0,1
425,Success,757.4,-0.067,0,0,1
426,Success,759.77,-0.067,0,0,1
427,Obstacle Collision,765.45,-1.667,0,1,0
428,Success,766.95,-0.056,0,0,1
429,Success,769.57,-0.078,0,0,1
430,Obstacle Collision,770.52,-1.073,0,1,0
431,Success,772.51,-0.067,0,0,1
432,Obstacle Collision,773.19,-1.267,0,1,0
433,Success,774.61,-0.05,0,0,1
434,Success,777.01,-0.111,0,0,1
435,Success,778.01,-0.039,0,0,1
436,Success,779.04,-0.05,0,0,1
437,Success,780.44,-0.044,0,0,1
438,Obstacle Collision,782.77,-1.311,0,1,0
439,Obstacle Collision,783.17,-1.261,0,1,0
440,Obstacle Collision,783.86,-3.833,0,1,0
441,Success,786.39,-0.083,0,0,1
442,Success,789.4,-0.078,0,0,1
443,Success,792.27,-1.811,0,0,1
444,Success,794.25,-0.089,0,0,1
445,Success,795.92,-0.067,0,0,1
446,Obstacle Collision,796.96,-1.3,0,1,0
447,Success,798.61,-0.067,0,0,1
448,Obstacle Collision,800.44,-1.294,0,1,0
449,Obstacle Collision,801.09,-2.583,0,1,0
450,Agent Collision,802.5,-2.617,1,0,0
451,Success,803.5,-0.044,0,0,1
452,Obstacle Collision,804.54,-1.278,0,1,0
453,Success,806.98,-0.067,0,0,1
454,Success,809.57,-0.072,0,0,1
455,Obstacle Collision,811.14,-1.289,0,1,0
456,Success,812.64,-0.078,0,0,1
457,Obstacle Collision,814.41,-1.294,0,1,0
458,Success,816.68,-0.078,0,0,1
459,Success,819.4,-0.133,0,0,1
460,Success,820.24,-0.028,0,0,1
461,Obstacle Collision,821.16,-0.73,0,1,0
462,Success,823.84,-0.089,0,0,1
463,Success,826.43,-0.078,0,0,1
464,Success,827.51,-0.033,0,0,1
465,Success,831.69,-3.402,0,0,1
466,Success,834.03,-0.083,0,0,1
